LibID,Library,Year,Upper Tier Code,Legal Name,New Legal Name,Mailing Address,Postal Code,City,Street Address,Library Web Site Address,Library Service Type,Population (Resident),Households (Resident),Population (Contracting),Households (Contracting),Date year starts,Date year ends,Ontario Library Service (OLS) Region,# of Active Library Cardholders,Net Balance brought forward amount,Net Balance brought forward type,Provincial Operating Funding,Local Operating Grant,Contract Revenue,Project Grants,Donations,Self-generated Revenue,Debt Services and Reserve Fund Revenues,Other operating revenue,Total Operating Revenues,Provincial capital revenues,Federal capital revenues,Local capital revenues,Other capital revenues,Total Capital Revenues,General materials expenditure,Electronic materials expenditure,Staffing expenditure,Staff Training expenditure,Facilities/Utilities,Telephone and Fax,Dedicated Internet Connectivity Costs,Computer Services,Debt Charges and Transfers to Reserve Funds,Funds returned to government sources,Contract payment made to library boards for library services,Other expenditures,Total Operating Expenditures,Total Capital Expenditures,Titles Held (Reference - English Language),Titles Held (Reference - French Language),Titles Held (Reference - Other Language),Volumes Held (Reference - English Language),Volumes Held (Reference - French Language),Volumes Held (Reference - Other Language),# of Databases (Reference - English Language),# of Databases (Reference - French Language),# of Databases (Reference - Other Language),# of CD ROM Titles (Reference - English Language),# of CD ROM Titles (Reference - French Language),# of CD ROM Titles (Reference - Other Language),# of copies of CD ROM (Reference - English Language),# of copies of CD ROM (Reference - French Language),# of copies of CD ROM (Reference - Other Language),Titles Held (Circulating - English Language),Titles Held (Circulating - French Language),Titles Held (Circulating - Other Language),Volumes Held (Circulating - English Language),Volumes Held (Circulating - French Language),Volumes Held (Circulating - Other Language),# of CD ROM Titles (Circulating - English Language),# of CD ROM Titles (Circulating - French Language),# of CD ROM Titles (Circulating - Other Language),# of copies of CD ROMs (Circulating - English Language),# of copies of CD ROMs (Circulating - French Language),# of copies of CD ROMs (Circulating - Other Language),Titles Held (Periodicals - English Language),Titles Held (Periodicals - French Language),Titles Held (Periodicals - Other Language),# of Database Subscriptions (Periodicals - English Language),# of Database Subscriptions (Periodicals - French Language),# of Database Subscriptions (Periodicals - Other Language),# of CD ROM Titles (Periodicals - English Language),# of CD ROMs Titles (Periodicals - French Language),# of CD ROM Titles (Periodicals - Other Language),# of copies of CD ROMs (Periodicals - English Language),# of copies of CD ROMs (Periodicals - French Language),# of copies of CD ROMs (Periodicals - Other Language),# of individual electronic periodical titles (English Language),# of individual electronic periodical titles (French Language),# of individual electronic periodical titles (Other Language),# of hours per week in an FTE,Librarians (Full Time - # of people),Library Technicians (Full Time - # of people),EXCEL Graduates  (Full Time - # of people),Other staff (Full Time - # of people),Volunteers (Full Time - # of people),Librarians (Part Time - # of people),Librarians (Part Time - Hours worked),Library Technicians (Part Time - # of people),Library Technicians (Part Time - Hours worked),EXCEL Graduates (Part Time - # of people),EXCEL Graduates (Part Time - Hours worked),Other staff (Part Time - # of people),Other staff (Part Time - Hours worked),Volunteers (Part Time - # of people),Volunteers (Part Time - Hours worked),# of Public access workstations,Workstations with internet access,Workstations with OPAC access,Workstations with CD ROM access,Automated catalogue available,Name of Automated Catalogue System,Does your library provide wireless Internet connection,# of Main Libraries,Main Library - total hours open per week,# of Branches open >= 12 hours per week,Branches open >= 12 hours per week - total hours open per week,# of Branches open < 12 hours per week,Branches open < 12 hours per week - total hours open per week,# of Bookmobile stops,Bookmobile hours per week,# of Deposit Stations,Deposit Station hours per week,# of Bookmobiles,Total Annual Direct Circulation,# of programs held annually,Annual program attendance,# of items borrowed,# of items lent,# of requests made to other libraries,# of requests received from other libraries,Typical Week - Direct circulation,Typical Week - Materials use in library,Typical Week -  # of people using library workstations,Typical Week -  # of times electronic databases accessed,No of people using public library wireless connection,Typical Week -  # of standard reference transactions,Typical Week -  # of electronic reference transactions,Typical Week -  # of library visits made in person,Typical Week -  # of electronic library visits
14,Arnprior,2004,69,Arnprior,Town of Arnprior,21 Madawaska Street,K7S1R6,Arnprior,,http://www.arnprior.library.on.ca/,Public or Union Library,6460,3165,0,0,01/01/2004,12/31/2004,SOLS,5969,0,Nil,14263,168247,700,1253,7507,50518,0,3469,245957,0,0,0,0,0,45215,0,162584,1635,800,2240,0,7470,2568,0,0,23445,245957,0,169,1,0,343,14,0,0,0,0,4,0,0,4,0,0,51152,62,0,51611,77,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,1,0,0,0,1,26,0,0,6,62,5,18,6,3,3,0,Yes,Spectrum 5.1,0,1,47,0,0,0,0,0,0,0,0,0,120645,250,6000,428,1009,462,428,2702,490,155,0,0,342,0,1676,47
16,Asphodel-Norwood Twp,2004,66,Asphodel-Norwood Twp,Township of Asphodel-Norwood,P.O. Box 100,K0L2V0,Norwood,2363 County Road 45,www.anpl.org,Public or Union Library,3623,1697,0,0,01/01/2004,12/31/2004,SOLS,1420,12861,Surplus,8593,61933,0,0,0,5143,0,0,75669,12000,0,0,0,12000,10009,604,32384,0,25054,3088,0,534,2500,0,0,4484,78657,17217,30,0,0,41,0,0,0,0,0,0,0,0,0,0,0,21000,35,0,21500,35,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,30,0,0,2,19,0,0,9,9,1,0,Yes,Horizon,0,1,15,1,12,0,0,0,0,0,0,0,16474,44,267,211,246,210,348,362,53,64,0,0,7,0,276,0
17,Assiginack Twp,2004,83,Assiginack Twp,,Box 280 Manitowaning,P0P1N0,Manitoulin Island,"25A Spragge St., Manitowaning",www.assiginacklibrary.org,Public or Union Library,765,763,0,0,01/01/2004,12/31/2004,OLS-N,732,0,Nil,3483,20000,0,480,605,0,0,265,24833,0,0,0,0,0,3847,0,15053,680,2204,829,0,410,0,0,0,1502,24525,0,259,0,0,352,0,0,0,0,0,0,0,0,0,0,0,13844,0,0,13844,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,18,0,0,2,4,3,3,0,2,No,,0,1,14,0,0,0,0,0,0,0,0,0,23508,4,354,74,0,74,64,477,419,18,0,0,171,0,51,0
18,Athens Twp.,2004,56,Athens Twp.,,P.O. Box 309,K0E1B0,Athens,"5 Central Street, Athens",WWW.athenslibrary.ca,Public or Union Library,2809,1314,0,0,01/01/2004,12/31/2004,SOLS,436,2486,Surplus,6830,8000,0,1975,1242,731,0,387,19165,0,0,0,0,0,5207,0,9587,0,0,793,0,667,0,0,0,3174,19428,0,16,0,0,262,0,0,0,0,0,8,0,0,8,0,0,8398,15,215,8562,15,215,0,0,0,0,0,0,17,0,0,0,0,0,21,0,0,21,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,17,0,0,5,6,3,3,0,3,No,,0,1,12,0,0,0,0,0,0,0,0,0,8018,8,111,340,0,360,340,232,68,14,0,0,35,0,121,0
11,Atikokan Twp,2004,87,Atikokan Twp,,214 Skyes St.,P0T1C0,Atikokan,214 Sykes St.,www.aplibrary.org,Public or Union Library,3172,1642,0,0,01/01/2004,12/31/2004,OLS-N,2915,-11146,Deficit,10452,158300,0,19152,1542,8709,0,0,198155,0,0,0,0,0,17731,672,109759,2339,37082,2434,0,14302,0,0,0,28083,212402,0,1114,0,0,1201,0,0,1,0,0,125,30,0,125,30,0,34101,219,49,34401,219,49,298,0,0,298,0,0,726,0,0,0,0,0,0,0,0,0,0,0,396,0,0,35,1,0,0,0,0,0,0,1,25,0,0,7,34,6,11,11,15,8,11,Yes,Winnebago Spectrum,0,1,35.5,0,0,0,0,0,0,3,24,0,46090,187,1624,118,480,135,720,807,280,270,70,0,79,45,404,62
10,Augusta Twp,2004,56,Augusta Twp,,R.R. #2,K6V5T2,Brockville,4500 County Road 15,augustalibrary.com,Public or Union Library,7265,2941,0,0,01/01/2004,12/31/2004,SOLS,972,45176,Surplus,13297,63565,0,4000,969,3216,518,55151,140716,0,0,0,0,0,15000,0,50000,446,16381,1027,620,2788,0,0,0,55865,142127,0,112,0,0,174,0,0,1,0,0,13,0,0,13,0,0,20250,121,0,20269,121,0,86,1,0,86,1,0,24,0,0,1,0,0,0,0,0,0,0,0,800,0,0,35,0,0,0,0,0,0,0,0,0,2,40,0,0,9,18,6,6,6,2,Yes,SIRS Mandarin M3,0,1,26,0,0,0,0,0,0,0,0,0,25213,40,462,178,0,185,178,612,210,45,0,0,36,0,334,0
1035,Aundeck-Omni-Kaning FN,2004,0,Aundeck-Omni-Kaning FN,Aundeck-Omni-Kaning,"P.O. Box 21, RR #1",P0P1K0,Little Current,13 Hill Street,,First Nations Library,334,0,0,0,04/01/2004,03/31/2005,OLS-N,38,0,Nil,873,129,0,13000,7500,48,0,408,21958,0,0,0,0,0,575,0,16684,662,2315,1377,0,343,0,0,0,0,21956,0,10,0,0,85,0,0,0,0,0,0,0,0,0,0,0,3540,0,0,3698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,9,8,0,0,No,,0,1,25,0,0,0,0,0,0,0,0,0,193,12,52,33,0,33,0,19,3,33,0,0,2,1,60,0
33,Aurora,2004,27,Aurora,,15145 Yonge Street,L4G1M1,Aurora,,www.library.aurora.on.ca,Public or Union Library,37495,14404,0,0,01/01/2004,12/31/2004,SOLS,31055,0,Nil,45422,1845770,0,0,3235,83978,0,299,1978704,0,0,0,0,0,203590,16017,1377473,4472,29695,10916,0,72872,155748,0,0,107921,1978704,0,2430,29,0,5882,70,0,0,0,0,0,0,0,0,0,0,126731,4224,92,138131,4680,753,36,10,0,44,10,0,241,7,0,8,0,0,0,0,0,0,0,0,4386,0,0,35,4,8,0,3,0,0,0,7,198,0,0,19,345.5,6,3,41,22,15,9,Yes,Dynix,0,1,61.5,0,0,0,0,0,0,0,0,0,531110,343,6620,1006,1464,1111,4734,12852,3380,1103,432,0,1063,29,8540,2480
488,Aweres LSB,2004,80,Aweres LSB,,Box 300 Shetland Park,P6A5K7,Sault Ste Marie,,localservicesboardofaweres@shaw.ca,Contracting LSB,1602,0,0,0,04/01/2004,03/31/2005,,0,0,Nil,3264,0,0,0,0,0,0,0,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264,0,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Baldwin Twp,2004,88,Baldwin Twp,,P.O. Box 7095,P0P1M0,McKerrow,11 Spooner St,www.townshipofbaldwin.ca,Contracting Municipality,570,350,0,0,01/01/2004,12/31/2004,,0,0,Nil,1694,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Bancroft,2004,51,Bancroft,Town of Bancroft,P.O. Box 127,K0L1C0,Bancroft,14 Flint Street,bancroftlibrary@bellnet.ca,Public or Union Library,3511,1914,1397,1308,01/01/2004,12/31/2004,SOLS,2442,2806,Surplus,8867,75000,5595,9347,2775,6312,0,1332,109228,0,0,0,0,0,15465,0,62500,970,16115,1452,0,7572,0,0,0,5970,110044,0,251,0,0,274,0,0,0,0,0,0,0,0,0,0,0,17713,189,243,17807,189,243,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,26,3,44,2,8,6,5,1,5,Yes,Winnebago,0,1,26,0,0,0,0,0,0,0,0,0,25967,9,340,246,182,267,449,572,19,91,0,0,111,18,345,4
43,Barrie,2004,70,Barrie,,60 Worsley Street,L4M1L6,Barrie,,http://www.library.barrie.on.ca,Public or Union Library,100825,42973,8265,4661,01/01/2004,12/31/2004,SOLS,96662,-38816,Deficit,271808,2644679,91508,7744,0,349292,0,13305,3378336,0,0,155408,0,155408,470541,0,2069722,28754,383229,25573,0,80156,70770,0,0,197189,3325934,0,4296,37,0,7643,123,0,22,0,0,32,0,0,32,0,0,149739,5663,381,198180,6351,389,412,3,0,436,3,0,296,6,0,11,0,0,0,0,0,0,0,0,7500,0,0,35,8,4,0,7,0,2,48,0,0,0,0,30,635,142,162,43,28,39,28,Yes,HORIZON,0,1,63,0,0,0,0,0,0,0,0,0,1424235,606,20400,3266,381,3452,855,29262,5045,2302,1541,0,1226,5,16388,6330
393,Beausoleil FN,2004,70,Beausoleil FN,,80 Kate Kegwin Street,L0K1C0,Christian Island,,http;//www.olsn.ca/bfnlibrary,First Nations Library,617,0,0,0,04/01/2004,03/31/2005,SOLS,500,0,Nil,2164,16041,0,13000,0,0,0,0,31205,0,0,0,0,0,205,0,17472,1473,8575,2152,0,295,0,0,0,1033,31205,0,50,0,0,80,0,0,0,0,0,0,0,0,0,0,0,3195,0,0,3399,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,No,,0,1,30,0,0,0,0,0,0,0,0,0,1500,66,1228,0,0,0,0,56,45,59,0,0,14,0,119,0
35,Beckwith Twp,2004,55,Beckwith Twp,,R.R.#2,K7C3P2,Carleton Place,1702 9th Line Beckwith,www.twp.beckwith.on.ca,Contracting Municipality,5696,2632,0,0,01/01/2004,12/31/2004,,0,0,Nil,9425,63228,0,0,0,0,0,0,72653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72653,0,72653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Belleville,2004,51,Belleville,City of Belleville,254 Pinnacle Street,K8N3B1,Belleville,,www.bellevillelibrary.com,Public or Union Library,42300,20553,0,0,01/01/2004,12/31/2004,SOLS,15135,94957,Surplus,84357,1091624,0,7488,11094,59611,0,21054,1275228,0,0,0,145000,145000,162483,8027,891976,4806,82546,3173,4938,43024,199366,0,0,45851,1446190,0,9203,23,0,9687,23,0,10,0,0,131,0,0,193,0,0,92300,1232,1649,97158,1257,1683,31,0,0,35,0,0,201,0,0,1,0,0,1,0,0,19,0,0,769,0,0,35,4,2,0,11,0,1,18,0,0,0,0,16,216,9,4,25,17,8,4,Yes,Dynix Horizon Sunrise v7.3.2,0,1,57.5,0,0,0,0,0,0,0,0,0,280352,279,11380,1687,1879,1970,3601,5601,1095,592,41,0,367,7,3208,600
394,Big Grassy FN,2004,87,Big Grassy FN,,P.O. Box 453,P0W1J0,Morson,513 Beach Rd.,www.biggrassy.ca/library,First Nations Library,250,0,0,0,04/01/2004,03/31/2005,OLS-N,150,0,Nil,758,3208,0,20500,0,0,0,0,24466,1500,0,0,0,1500,3500,0,16966,0,0,0,0,4000,0,0,0,0,24466,1500,20,0,0,148,0,0,0,0,0,1,0,0,30,0,0,4573,0,0,4598,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,8,8,0,8,No,,0,1,40,0,0,0,0,0,0,0,0,0,1480,100,1500,0,0,0,0,32,35,79,0,0,29,0,113,0
